deportation	von	nach	nach_fct	deportation_alt	dep_datum	dep_date	deportation_date_exact	deportation_my	deportation_month	deportation_year
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 26.06.1942 nach Theresienstadt	26.06.1942	26.06.1942	1942-06-26	1942-06-26	Jun	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 14.12.1942 nach Riga	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 08.10.1941 nach Łódź / Litzmannstadt	08.10.1941	08.10.1941	1941-10-08	1941-10-08	Oct	1941
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.08.1942 nach Theresienstadt	03.08.1942	03.08.1942	1942-08-03	1942-08-03	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 23.07.1942 nach Theresienstadt	23.07.1942	23.07.1942	1942-07-23	1942-07-23	Jul	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Sachsenhausen	NA	Sachsenhausen	Sachsenhausen	am 13.09.1939 nach Sachsenhausen	13.09.1939	13.09.1939	1939-09-13	1939-09-13	Sep	1939
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 01.10.1943 nach Theresienstadt	01.10.1943	01.10.1943	1943-10-01	1943-10-01	Oct	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Riga	NA	Riga	Riga	am 15.08.1942 nach Riga	15.08.1942	15.08.1942	1942-08-15	1942-08-15	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 28.06.1943 nach Auschwitz	28.06.1943	28.06.1943	1943-06-28	1943-06-28	Jun	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von Schöneberger Straße 25 nach Auschwitz	Schöneberger Straße 25 	Auschwitz	Auschwitz	am 19.02.1943 von Schöneberger Straße 25 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.01.1943 nach Auschwitz	29.01.1943	29.01.1943	1943-01-29	1943-01-29	Jan	1943
nach Riga	NA	Riga	Riga	am 15.08.1942 nach Riga	15.08.1942	15.08.1942	1942-08-15	1942-08-15	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 25.09.1942 nach Theresienstadt	25.09.1942	25.09.1942	1942-09-25	1942-09-25	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Sobibór	NA	Sobibór	Sobibór	am 13.06.1942 nach Sobibór	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.01.1944 nach Theresienstadt	10.01.1944	10.01.1944	1944-01-10	1944-01-10	Jan	1944
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
nach Kowno Fort IX	NA	Kowno Fort IX	Kowno / Kaunas	am 17.11.1941 nach Kowno Fort IX	17.11.1941	17.11.1941	1941-11-17	1941-11-17	Nov	1941
nach Kowno Fort IX	NA	Kowno Fort IX	Kowno / Kaunas	am 17.11.1941 nach Kowno Fort IX	17.11.1941	17.11.1941	1941-11-17	1941-11-17	Nov	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
in das Ghetto Theresienstadt	NA	Ghetto Theresienstadt	Theresienstadt	am 14.09.1942 in das Ghetto Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von Moabit nach Riga	Moabit 	Riga	Riga	am 05.09.1942 von Moabit nach Riga	05.09.1942	05.09.1942	1942-09-05	1942-09-05	Sep	1942
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 01.03.1943 von Moabit nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 03.03.1943 von Moabit nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
nach Kowno / Kaunas	NA	Kowno / Kaunas	Kowno / Kaunas	am 17.11.1941 nach Kowno / Kaunas	17.11.1941	17.11.1941	1941-11-17	1941-11-17	Nov	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 25.08.1942 nach Theresienstadt	25.08.1942	25.08.1942	1942-08-25	1942-08-25	Aug	1942
von Gerlachstraße 18/21 in das KZ Theresienstadt	Gerlachstraße 18/21 	KZ Theresienstadt	Theresienstadt	am 14.09.1942 von Gerlachstraße 18/21 in das KZ Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Piaski	NA	Piaski	Piaski	am 28.03.1942 nach Piaski	28.03.1942	28.03.1942	1942-03-28	1942-03-28	Mar	1942
nach Piaski	NA	Piaski	Piaski	am 28.03.1942 nach Piaski	28.03.1942	28.03.1942	1942-03-28	1942-03-28	Mar	1942
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Kowno / Kaunas	NA	Kowno / Kaunas	Kowno / Kaunas	am 17.11.1941 nach Kowno / Kaunas	17.11.1941	17.11.1941	1941-11-17	1941-11-17	Nov	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 28.05.1943 nach Theresienstadt	28.05.1943	28.05.1943	1943-05-28	1943-05-28	May	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Sobibór	NA	Sobibór	Sobibór	am 13.06.1942 nach Sobibór	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.08.1942 nach Theresienstadt	17.08.1942	17.08.1942	1942-08-17	1942-08-17	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 02.02.1943 nach Theresienstadt	02.02.1943	02.02.1943	1943-02-02	1943-02-02	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.11.1942 nach Auschwitz	04.11.1942	04.11.1942	1942-11-04	1942-11-04	Nov	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 09.09.1942 nach Auschwitz	09.09.1942	09.09.1942	1942-09-09	1942-09-09	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Warschau	NA	Warschau	Warschau	am 02.04.1942 nach Warschau	02.04.1942	02.04.1942	1942-04-02	1942-04-02	Apr	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 04.09.1942 nach Theresienstadt	04.09.1942	04.09.1942	1942-09-04	1942-09-04	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 27.08.1942 nach Theresienstadt	27.08.1942	27.08.1942	1942-08-27	1942-08-27	Aug	1942
von Berlin, Sächsische Str. 72 nach Theresienstadt	Berlin, Sächsische Str. 72 	Theresienstadt	Theresienstadt	am 20.08.1942 von Berlin, Sächsische Str. 72 nach Theresienstadt	20.08.1942	20.08.1942	1942-08-20	1942-08-20	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 06.06.1942 nach Theresienstadt	06.06.1942	06.06.1942	1942-06-06	1942-06-06	Jun	1942
	NA	NA	NA	am 03.03.1943	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.08.1942 nach Theresienstadt	17.08.1942	17.08.1942	1942-08-17	1942-08-17	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 18.03.1943 nach Theresienstadt	18.03.1943	18.03.1943	1943-03-18	1943-03-18	Mar	1943
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Riga	NA	Riga	Riga	am 19.01.1942 nach Riga	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 07.08.1942 nach Theresienstadt	07.08.1942	07.08.1942	1942-08-07	1942-08-07	Aug	1942
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.08.1942 nach Theresienstadt	17.08.1942	17.08.1942	1942-08-17	1942-08-17	Aug	1942
von Berlin nach Auschwitz	Berlin 	Auschwitz	Auschwitz	am 04.03.1943 von Berlin nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	im Jahre 1943 nach Auschwitz	1943	1943	NA	NA	NA	1943
nach Sobibór	NA	Sobibór	Sobibór	am 13.06.1942 nach Sobibór	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
nach Riga	NA	Riga	Riga	am 25.01.1942 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
nach Riga	NA	Riga	Riga	am 05.09.1942 nach Riga	05.09.1942	05.09.1942	1942-09-05	1942-09-05	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Sachsenhausen	NA	Sachsenhausen	Sachsenhausen	am 30.11.1939 nach Sachsenhausen	30.11.1939	30.11.1939	1939-11-30	1939-11-30	Nov	1939
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 31.08.1942 nach Theresienstadt	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.02.1943 nach Auschwitz	19.02.1943	19.02.1943	1943-02-19	1943-02-19	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von aus Prag nach Łódź / Litzmannstadt	aus Prag 	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 26.10.1941 von aus Prag nach Łódź / Litzmannstadt	26.10.1941	26.10.1941	1941-10-26	1941-10-26	Oct	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Riga	NA	Riga	Riga	am 25.01.1942 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
nach Riga	NA	Riga	Riga	am 25.01.1942 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.09.1942 nach Theresienstadt	10.09.1942	10.09.1942	1942-09-10	1942-09-10	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.09.1942 nach Theresienstadt	10.09.1942	10.09.1942	1942-09-10	1942-09-10	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Raasiku	NA	Raasiku	Raasiku	am 26.09.1942 nach Raasiku	26.09.1942	26.09.1942	1942-09-26	1942-09-26	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 07.12.1943 nach Auschwitz	07.12.1943	07.12.1943	1943-12-07	1943-12-07	Dec	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von Gerlachstraße 18/21 nach KZ Theresienstadt	Gerlachstraße 18/21 	KZ Theresienstadt	Theresienstadt	am 14.09.1942 von Gerlachstraße 18/21 nach KZ Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
von Gerlachstraße 18/21 in das KZ Theresienstadt	Gerlachstraße 18/21 	KZ Theresienstadt	Theresienstadt	am 14.09.1942 von Gerlachstraße 18/21 in das KZ Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.06.1943 nach Theresienstadt	16.06.1943	16.06.1943	1943-06-16	1943-06-16	Jun	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 17.05.1943 nach Auschwitz	17.05.1943	17.05.1943	1943-05-17	1943-05-17	May	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 19.01.1942 nach Riga	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 19.10.1942 nach Riga	19.10.1942	19.10.1942	1942-10-19	1942-10-19	Oct	1942
nach Minsk	NA	Minsk	Minsk	am 24.06.1942 nach Minsk	24.06.1942	24.06.1942	1942-06-24	1942-06-24	Jun	1942
nach Minsk	NA	Minsk	Minsk	am 24.06.1942 nach Minsk	24.06.1942	24.06.1942	1942-06-24	1942-06-24	Jun	1942
nach Riga	NA	Riga	Riga	am 19.10.1942 nach Riga	19.10.1942	19.10.1942	1942-10-19	1942-10-19	Oct	1942
von Albrechtstraße 38 nach Auschwitz	Albrechtstraße 38 	Auschwitz	Auschwitz	am 02.03.1943 von Albrechtstraße 38 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
von Albrechtstraße 38 nach Auschwitz	Albrechtstraße 38 	Auschwitz	Auschwitz	am 04.03.1943 von Albrechtstraße 38 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 24.10.1941 nach Łódź / Litzmannstadt	24.10.1941	24.10.1941	1941-10-24	1941-10-24	Oct	1941
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 24.10.1941 nach Łódź / Litzmannstadt	24.10.1941	24.10.1941	1941-10-24	1941-10-24	Oct	1941
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 21.08.1942 nach Theresienstadt	21.08.1942	21.08.1942	1942-08-21	1942-08-21	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Riga	NA	Riga	Riga	am 05.09.1942 nach Riga	05.09.1942	05.09.1942	1942-09-05	1942-09-05	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 18.05.1943 nach Theresienstadt	18.05.1943	18.05.1943	1943-05-18	1943-05-18	May	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	nach Theresienstadt	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.08.1942 nach Theresienstadt	17.08.1942	17.08.1942	1942-08-17	1942-08-17	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.08.1942 nach Theresienstadt	17.08.1942	17.08.1942	1942-08-17	1942-08-17	Aug	1942
von Grunewald nach Riga	Grunewald 	Riga	Riga	am 27.11.1941 von Grunewald nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
von Grunewald nach Riga	Grunewald 	Riga	Riga	am 27.11.1941 von Grunewald nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
von Grunewald nach Riga	Grunewald 	Riga	Riga	am 27.11.1941 von Grunewald nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
von Grunewald nach Riga	Grunewald 	Riga	Riga	am 27.11.1941 von Grunewald nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
