schicksal,destiny_type,destiny_type_fac,destiny_when,destiny_when_date,destiny_when_year,destiny_location,destiny_loc_cat,destiny_loc_fac
HINGERICHTET 10.02.1943 in Plötzensee,HINGERICHTET,murdered,10.02.1943,1943-02-10,1943,Plötzensee,Plötzensee,Other
ERMORDET in Auschwitz-Birkenau,ERMORDET,murdered,NA,NA,NA,Auschwitz-Birkenau,Auschwitz,Auschwitz
TOT 1942 in Raasiku (b. Reval),TOT,deceased,1942,NA,1942,Raasiku (b. Reval),Raasiku,Other
TOT,TOT,deceased,NA,NA,NA,NA,NA,Unknown
ERMORDET 18.08.1942 im Ghetto Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Ghetto Riga,Riga,Riga
TOT 27.01.1944 im Ghetto Theresienstadt,TOT,deceased,27.01.1944,1944-01-27,1944,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
HINGERICHTET 24.08.1944 in Stuttgart,HINGERICHTET,murdered,24.08.1944,1944-08-24,1944,Stuttgart,Stuttgart,Other
ERMORDET 13.01.1945 in Ilten,ERMORDET,murdered,13.01.1945,1945-01-13,1945,Ilten,Ilten,Other
FLUCHT IN DEN TOD 11.07.1942 im Konzentrationslager Buchenwald,FLUCHT IN DEN TOD,deceased,11.07.1942,1942-07-11,1942,Konzentrationslager Buchenwald,Buchenwald,Other
TOT 25.02.1943 in Theresienstadt,TOT,deceased,25.02.1943,1943-02-25,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 09.05.1942 in Chełmno / Kulmhof,ERMORDET,murdered,09.05.1942,1942-05-09,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET im Ghetto Minsk,ERMORDET,murdered,NA,NA,NA,Ghetto Minsk,Minsk,Minsk
TOT 13.11.1942 in Theresienstadt,TOT,deceased,13.11.1942,1942-11-13,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 02.03.1942 in der Tötungsanstalt Bernburg,ERMORDET,murdered,02.03.1942,1942-03-02,1942,Tötungsanstalt Bernburg,Bernburg,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Trawniki,ERMORDET,murdered,NA,NA,NA,Trawniki,Trawniki,Other
ERMORDET 11.01.1942 in Łódź / Litzmannstadt,ERMORDET,murdered,11.01.1942,1942-01-11,1942,Łódź / Litzmannstadt,Litzmannstadt,Litzmannstadt
TOT in Trawniki,TOT,deceased,NA,NA,NA,Trawniki,Trawniki,Other
"ERMORDET 25.11.1941 in Kowno, Fort IX",ERMORDET,murdered,25.11.1941,1941-11-25,1941,"Kowno, Fort IX",Kowno,Other
"ERMORDET 25.11.1941 in Kowno, Fort IX",ERMORDET,murdered,25.11.1941,1941-11-25,1941,"Kowno, Fort IX",Kowno,Other
ERMORDET 19.11.1943 in Theresienstadt,ERMORDET,murdered,19.11.1943,1943-11-19,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 04.04.1943 in Theresienstadt,ERMORDET,murdered,04.04.1943,1943-04-04,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
"ERMORDET 01.03.1943 im """"Arbeitserziehungslager"""" Wuhlheide",ERMORDET,murdered,01.03.1943,1943-03-01,1943,"""""Arbeitserziehungslager"""" Wuhlheide",Wuhlheide,Other
ERMORDET 18.08.1942 im Ghetto Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Ghetto Riga,Riga,Riga
TOT 12.12.1943 in Rom,TOT,deceased,12.12.1943,1943-12-12,1943,Rom,Rom,Other
ERMORDET 22.10.1942 in Riga,ERMORDET,murdered,22.10.1942,1942-10-22,1942,Riga,Riga,Riga
ERMORDET 30.11.1941 in Riga,ERMORDET,murdered,30.11.1941,1941-11-30,1941,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 16.03.1938 in Brno (Tschechoslowakei),FLUCHT IN DEN TOD,deceased,16.03.1938,1938-03-16,1938,Brno (Tschechoslowakei),NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 07.03.1943 in Theresienstadt,ERMORDET,murdered,07.03.1943,1943-03-07,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET 1942 in Treblinka,ERMORDET,murdered,1942,NA,1942,Treblinka,Treblinka,Treblinka
ERMORDET 1942 in Treblinka,ERMORDET,murdered,1942,NA,1942,Treblinka,Treblinka,Treblinka
ERMORDET 25.11.1941 in Kowno Fort IX,ERMORDET,murdered,25.11.1941,1941-11-25,1941,Kowno Fort IX,Kowno,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 21.10.1943 in Berlin,FLUCHT IN DEN TOD,deceased,21.10.1943,1943-10-21,1943,Berlin,Berlin,Berlin
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET 08.03.1944 in Theresienstadt,ERMORDET,murdered,08.03.1944,1944-03-08,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET 12.10.1942 in Auschwitz,ERMORDET,murdered,12.10.1942,1942-10-12,1942,Auschwitz,Auschwitz,Auschwitz
ERMORDET 04.10.1942 in Auschwitz,ERMORDET,murdered,04.10.1942,1942-10-04,1942,Auschwitz,Auschwitz,Auschwitz
HINGERICHTET 30.11.1944 in Berlin-Plötzensee,HINGERICHTET,murdered,30.11.1944,1944-11-30,1944,Berlin-Plötzensee,Berlin,Berlin
HINGERICHTET 30.11.1944 in Berlin-Plötzensee,HINGERICHTET,murdered,30.11.1944,1944-11-30,1944,Berlin-Plötzensee,Berlin,Berlin
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET Mai 1942 in Chełmno / Kulmhof,ERMORDET,murdered,Mai 1942,NA,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET 15.03.1942 in Łódź / Litzmannstadt,ERMORDET,murdered,15.03.1942,1942-03-15,1942,Łódź / Litzmannstadt,Litzmannstadt,Litzmannstadt
ERMORDET 08.05.1942 in Chełmno / Kulmhof,ERMORDET,murdered,08.05.1942,1942-05-08,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET 30.01.1943 in Auschwitz,ERMORDET,murdered,30.01.1943,1943-01-30,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 30.01.1943 in Auschwitz,ERMORDET,murdered,30.01.1943,1943-01-30,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 30.01.1943 in Auschwitz,ERMORDET,murdered,30.01.1943,1943-01-30,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 30.01.1943 in Auschwitz,ERMORDET,murdered,30.01.1943,1943-01-30,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 27.04.1945 in Theresienstadt,ERMORDET,murdered,27.04.1945,1945-04-27,1945,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
VERBLEIB UNKLAR,VERBLEIB UNKLAR,unknown,NA,NA,NA,NA,NA,Unknown
ERMORDET 01.10.1942 in Theresienstadt,ERMORDET,murdered,01.10.1942,1942-10-01,1942,Theresienstadt,Theresienstadt,Theresienstadt
FLUCHT IN DEN TOD 11.08.1938,FLUCHT IN DEN TOD,deceased,NA,NA,NA,NA,NA,Unknown
FLUCHT IN DEN TOD 29.12.1938,FLUCHT IN DEN TOD,deceased,NA,NA,NA,NA,NA,Unknown
ERMORDET 21.11.1942 in Theresienstadt,ERMORDET,murdered,21.11.1942,1942-11-21,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Warschau,ERMORDET,murdered,NA,NA,NA,Warschau,Warschau,Other
ERMORDET 01.09.1942 in Theresienstadt,ERMORDET,murdered,01.09.1942,1942-09-01,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET 25.11.1941 in Kaunus / Kowno,ERMORDET,murdered,25.11.1941,1941-11-25,1941,Kaunus / Kowno,Kowno,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 21.01.1943 in Berlin,FLUCHT IN DEN TOD,deceased,21.01.1943,1943-01-21,1943,Berlin,Berlin,Berlin
ERMORDET in Chełmno / Kulmhof,ERMORDET,murdered,NA,NA,NA,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET 20.01.1943 in Piaski,ERMORDET,murdered,20.01.1943,1943-01-20,1943,Piaski,Piaski,Other
ERMORDET 1942 in Bochnia,ERMORDET,murdered,1942,NA,1942,Bochnia,Bochnia,Other
ERMORDET 1942 in Bełżec,ERMORDET,murdered,1942,NA,1942,Bełżec,Belzec,Other
ERMORDET 1942 in Bełżec,ERMORDET,murdered,1942,NA,1942,Bełżec,Belzec,Other
ERMORDET 1942 in Bełżec,ERMORDET,murdered,1942,NA,1942,Bełżec,Belzec,Other
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET 20.03.1942 in Bernburg / Saale,ERMORDET,murdered,20.03.1942,1942-03-20,1942,Bernburg / Saale,Bernburg,Other
TOT in Auschwitz,TOT,deceased,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT in Auschwitz,TOT,deceased,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
VERSTORBEN AN DEN FOLGEN VON HAFT UND FOLTER 17.05.1945 in Dachau,VERSTORBEN AN DEN FOLGEN VON HAFT UND FOLTER,deceased,17.05.1945,1945-05-17,1945,Dachau,Dachau,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT im Ghetto Piaski,TOT,deceased,NA,NA,NA,Ghetto Piaski,Piaski,Other
ERMORDET in Piaski,ERMORDET,murdered,NA,NA,NA,Piaski,Piaski,Other
ERMORDET in Piaski,ERMORDET,murdered,NA,NA,NA,Piaski,Piaski,Other
ERMORDET in Piaski,ERMORDET,murdered,NA,NA,NA,Piaski,Piaski,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Piaski,ERMORDET,murdered,NA,NA,NA,Piaski,Piaski,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
"ERMORDET 25.11.1941 in Kowno / Kaunas, Fort IX",ERMORDET,murdered,25.11.1941,1941-11-25,1941,"Kowno / Kaunas, Fort IX",Kowno,Other
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
VERBLEIB UNKLAR,VERBLEIB UNKLAR,unknown,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
VERBLEIB UNKLAR,VERBLEIB UNKLAR,unknown,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Chełmno / Kulmhof,ERMORDET,murdered,NA,NA,NA,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 13.07.1942 in Sachsenhausen,ERMORDET,murdered,13.07.1942,1942-07-13,1942,Sachsenhausen,Sachsenhausen,Sachsenhausen
ERMORDET 29.10.1942 in Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Riga,Riga,Riga
ERMORDET 29.10.1942 in Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Riga,Riga,Riga
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 08.12.1943 im KZ Theresienstadt,ERMORDET,murdered,08.12.1943,1943-12-08,1943,KZ Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 1944 in Auschwitz,ERMORDET,murdered,1944,NA,1944,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 06.12.1942 in Berlin,FLUCHT IN DEN TOD,deceased,06.12.1942,1942-12-06,1942,Berlin,Berlin,Berlin
"ERMORDET 25.11.1941 in Kowno, Fort IX",ERMORDET,murdered,25.11.1941,1941-11-25,1941,"Kowno, Fort IX",Kowno,Other
"ERMORDET 25.11.1941 in Kowno, Fort IX",ERMORDET,murdered,25.11.1941,1941-11-25,1941,"Kowno, Fort IX",Kowno,Other
ERMORDET 25.11.1941 in Kowno Fort IX,ERMORDET,murdered,25.11.1941,1941-11-25,1941,Kowno Fort IX,Kowno,Other
ERMORDET 25.11.1941 in Kowno Fort IX,ERMORDET,murdered,25.11.1941,1941-11-25,1941,Kowno Fort IX,Kowno,Other
ERMORDET 02.03.1943 in Theresienstadt,ERMORDET,murdered,02.03.1943,1943-03-02,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 18.08.1942 in Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT 19.10.1941 in Sachsenhausen,TOT,deceased,19.10.1941,1941-10-19,1941,Sachsenhausen,Sachsenhausen,Sachsenhausen
ERMORDET 08.05.1942 in Chełmno / Kulmhof,ERMORDET,murdered,08.05.1942,1942-05-08,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET 22.12.1942 in Auschwitz,ERMORDET,murdered,22.12.1942,1942-12-22,1942,Auschwitz,Auschwitz,Auschwitz
ERMORDET 03.07.1942 in Theresienstadt,ERMORDET,murdered,03.07.1942,1942-07-03,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 28.09.1944 in Auschwitz,ERMORDET,murdered,28.09.1944,1944-09-28,1944,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET März 1943 in Auschwitz,ERMORDET,murdered,März 1943,NA,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Piaski-Trawniki,ERMORDET,murdered,NA,NA,NA,Piaski-Trawniki,Piaski,Other
ERMORDET in Piaski-Trawniki,ERMORDET,murdered,NA,NA,NA,Piaski-Trawniki,Piaski,Other
ERMORDET 25.11.1941 in Kowno Fort IX,ERMORDET,murdered,25.11.1941,1941-11-25,1941,Kowno Fort IX,Kowno,Other
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 29.10.1942 im Ghetto Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Ghetto Riga,Riga,Riga
ERMORDET 01.12.1942 im KZ Sachsenhausen,ERMORDET,murdered,01.12.1942,1942-12-01,1942,KZ Sachsenhausen,Sachsenhausen,Sachsenhausen
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
IN DEN TOD GETRIEBEN 29.05.1941 in Berlin,IN DEN TOD GETRIEBEN,murdered,29.05.1941,1941-05-29,1941,Berlin,Berlin,Berlin
IN DEN TOD GETRIEBEN 11.07.1941 in Berlin,IN DEN TOD GETRIEBEN,murdered,11.07.1941,1941-07-11,1941,Berlin,Berlin,Berlin
TOT April 1942 in Piaski,TOT,deceased,April 1942,NA,1942,Piaski,Piaski,Other
ERMORDET April 1942 in Piaski,ERMORDET,murdered,April 1942,NA,1942,Piaski,Piaski,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 27.04.1943 in Auschwitz,ERMORDET,murdered,27.04.1943,1943-04-27,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 27.04.1943 in Auschwitz,ERMORDET,murdered,27.04.1943,1943-04-27,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 01.12.1942 in Auschwitz,ERMORDET,murdered,01.12.1942,1942-12-01,1942,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET Dezember 1942 in Theresienstadt,ERMORDET,murdered,Dezember 1942,NA,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET 25.11.1941 in Kowno / Kaunas,ERMORDET,murdered,25.11.1941,1941-11-25,1941,Kowno / Kaunas,Kowno,Other
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
TOT in Auschwitz,TOT,deceased,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 18.08.1942 in Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Riga,Riga,Riga
TOT in Kolomea / Kolomyja,TOT,deceased,NA,NA,NA,Kolomea / Kolomyja,Kolomea / Kolomyja,Other
TOT 1942 im Ghetto Kolomea / Kolomyja,TOT,deceased,1942,NA,1942,Ghetto Kolomea / Kolomyja,Kolomea / Kolomyja,Other
ERMORDET im Ghetto Kolomea / Kolomyja,ERMORDET,murdered,NA,NA,NA,Ghetto Kolomea / Kolomyja,Kolomea / Kolomyja,Other
NA,NA,unknown,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 11.02.1943 in Auschwitz,ERMORDET,murdered,11.02.1943,1943-02-11,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 13.03.1943 in Theresienstadt,ERMORDET,murdered,13.03.1943,1943-03-13,1943,Theresienstadt,Theresienstadt,Theresienstadt
HINGERICHTET 12.02.1943 im Strafgefängnis Berlin-Tegel,HINGERICHTET,murdered,12.02.1943,1943-02-12,1943,Strafgefängnis Berlin-Tegel,Berlin,Berlin
HINGERICHTET 12.02.1943 in Berlin-Tegel,HINGERICHTET,murdered,12.02.1943,1943-02-12,1943,Berlin-Tegel,Berlin,Berlin
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET 18.08.1942 im Ghetto Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Ghetto Riga,Riga,Riga
ERMORDET 18.08.1942 im Ghetto Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Ghetto Riga,Riga,Riga
ERMORDET 09.11.1943 im Ghetto Theresienstadt,ERMORDET,murdered,09.11.1943,1943-11-09,1943,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 11.02.1943 im Ghetto Theresienstadt,ERMORDET,murdered,11.02.1943,1943-02-11,1943,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 25.02.1945 in Bergen-Belsen,ERMORDET,murdered,25.02.1945,1945-02-25,1945,Bergen-Belsen,Bergen-Belsen,Other
TOT 1942 in Amsterdam,TOT,deceased,1942,NA,1942,Amsterdam,Amsterdam,Other
TOT 12.04.1942 in Berlin,TOT,deceased,12.04.1942,1942-04-12,1942,Berlin,Berlin,Berlin
TOT 04.04.1943 in Theresienstadt,TOT,deceased,04.04.1943,1943-04-04,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 07.09.1942 in Theresienstadt,ERMORDET,murdered,07.09.1942,1942-09-07,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 11.01.1943 in Theresienstadt,ERMORDET,murdered,11.01.1943,1943-01-11,1943,Theresienstadt,Theresienstadt,Theresienstadt
TOT 04.08.1935 in Berlin,TOT,deceased,04.08.1935,1935-08-04,1935,Berlin,Berlin,Berlin
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 18.08.1942 in Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Riga,Riga,Riga
ERMORDET 16.09.1942 im KZ Sachsenhausen,ERMORDET,murdered,16.09.1942,1942-09-16,1942,KZ Sachsenhausen,Sachsenhausen,Sachsenhausen
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET September 1942 in Treblinka,ERMORDET,murdered,September 1942,NA,1942,Treblinka,Treblinka,Treblinka
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET im Ghetto Minsk,ERMORDET,murdered,NA,NA,NA,Ghetto Minsk,Minsk,Minsk
ERMORDET 24.02.1943 in Theresienstadt,ERMORDET,murdered,24.02.1943,1943-02-24,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT 26.02.1943 in Theresienstadt,TOT,deceased,26.02.1943,1943-02-26,1943,Theresienstadt,Theresienstadt,Theresienstadt
TOT 14.04.1943 in Theresienstadt,TOT,deceased,14.04.1943,1943-04-14,1943,Theresienstadt,Theresienstadt,Theresienstadt
TOT 19.12.1942 in Theresienstadt,TOT,deceased,19.12.1942,1942-12-19,1942,Theresienstadt,Theresienstadt,Theresienstadt
TOT 02.06.1944 in Theresienstadt,TOT,deceased,02.06.1944,1944-06-02,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 23.11.1942 im Ghetto Theresienstadt,ERMORDET,murdered,23.11.1942,1942-11-23,1942,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
